GCxGC Bin,Formula,Reference Compound,PelePhysics Key
Toluene,C7H8,toluene,C6H5CH3 
C2-Benzene,C8H10,ethyl benzene ,C6H5C2H5 
C3-Benzene,C9H12,propyl benzene,C6H5C3H7
C4-Benzene,C10H14,butyl benzene,C6H5C4H9
C5-Benzene,C11H16,pentyl benzene,C6H5C5H11
C6-Benzene,C12H18,hexyl benzene,C6H5C6H13
C7-Benzene,C13H20,heptyl benzene,C6H5C7H15
C8-Benzene,C14H22,octyl benzene,C6H5C8H17
C9-Benzene,C15H24,nonyl benzene,C6H5C9H19
C10-Benzene,C16H26,decyl benzene,C6H5C10H21
Diaromatic-C10,C10H8,naphthalene,NAPH
Diaromatic-C11,C11H10,1-methyl naphthalene,METHYLNAPH-1
Diaromatic-C12,C12H12,1-ethyl naphthalene,ETHYLNAPH-1
Diaromatic-C13,C13H14,1-propyl naphthalene,PROPYLNAPH-1
Diaromatic-C14,C14H16,1-butyl naphthalene,BUTYLNAPH-1
Cycloaromatic-C09,C9H10,indane,INDANE
Cycloaromatic-C10,C10H12,tetralin,TETRA
Cycloaromatic-C11,C11H14,2-methyl tetralin,METHYLTETRA-2
Cycloaromatic-C12,C12H16,2-ethly tetralin,ETHYLTETRA-2
Cycloaromatic-C13,C13H18,2-propyl tetralin,PROPYLTETRA-2
Cycloaromatic-C14,C14H20,2-butyl tetralin,BUTYLTETRA-2
Cycloaromatic-C15,C15H22,2-pentyl tetralin,PENTYLTETRA-2
C07-Isoparaffin,C7H16,2-methyl hexane,C7H16-2
C08-Isoparaffin,C8H18,2-methyl heptane,C8H18-2 
C09-Isoparaffin,C9H20,2-methyl octane,C9H20-2
C10-Isoparaffin,C10H22,2-methyl nonane,C10H22-2
C11-Isoparaffin,C11H24,2-methyl decane,C11H24-2
C12-Isoparaffin,C12H26,2-methyl undecane,C12H26-2
C13-Isoparaffin,C13H28,2-methyl dodecane,C13H28-2
C14-Isoparaffin,C14H30,2-methyl tridecane,C14H30-2
C15-Isoparaffin,C15H32,2-methyl tetradecane,C15H32-2
C16-Isoparaffin,C16H34,2-methyl pentadecane,C16H34-2
C17-Isoparaffin,C17H36,2-methyl hexadecane,C17H36-2
