NC10H22            2   704.917     6.675     0.000     0.000     1.000          
NC7H16             2   459.600     6.253     0.000     0.000     1.000          
NC12H26            2   789.980     7.047     0.000     0.000     1.000          
IC8H18             2   458.500     6.414     0.000     0.000     1.000

AR                 0   136.500     3.330     0.000     0.000     0.000          
C                  0    71.400     3.298     0.000     0.000     0.000          
CO2                1   244.000     3.763     0.000     2.650     2.100          
                                                                       
HE                 0    10.200     2.576     0.000     0.000     0.000 ! *      
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800          
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *      
N2                 1    97.530     3.621     0.000     1.760     4.000          
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800          

POSF10264          2   177.645     9.605     0.000     0.000     1.000  !  C11H22; sigma and epsilon derived from NC11H24-N2
POSF10325          2   177.645     9.605     0.000     0.000     1.000  !  C11H22; sigma and epsilon derived from NC11H24-N2
POSF10289          2   178.548    10.115     0.000     0.000     1.000  !  C12H23; sigma and epsilon derived from NC12H26-N2
POSF11498          2   179.321    10.607     0.000     0.000     1.000  !  C13H28; sigma and epsilon derived from NC13H28-N2
