NO                 1    97.530     3.621     0.000     1.760     4.000
N2O                1   232.400     3.828     0.000     0.000     1.000          
O2                 1   107.400     3.458     0.000     1.600     3.800          
H2                 1    38.000     2.920     0.000     0.790   280.000            
H                  0   145.000     2.050     0.000     0.000     0.000          
O                  0    80.000     2.750     0.000     0.000     0.000          
OH                 1    80.000     2.750     0.000     0.000     0.000     
HO2                2   107.400     3.458     0.000     0.000     1.000          
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800              
NO2                2   200.000     3.500     0.000     0.000     1.000          
NH3                2   481.000     2.920     1.470     0.000    10.000          
HNO                2   116.700     3.492     0.000     0.000     1.000           
HONO               2   232.400     3.828     0.000     0.000     1.000 
H2NO               2   116.700     3.492     0.000     0.000     1.000 
N                  0    71.400     3.298     0.000     0.000     0.000          
NNH                2    71.400     3.798     0.000     0.000     1.000          
NH2                2    80.000     2.650     0.000     2.260     4.000          
NH                 1    80.000     2.650     0.000     0.000     4.000          
N2                 1    97.530     3.621     0.000     1.760     4.000       
