N2                 0   97.530      3.621     0.000     0.000     0.000
O                  0   80.000      2.750     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000
OH                 0   80.000      2.750     0.000     0.000     0.000
H2                 0   38.000      2.920     0.000     0.000     0.000
O2                 0   107.400     3.458     0.000     0.000     0.000
H2O                0   572.400     2.605     0.000     0.000     0.000
H2O2               0   107.400     3.458     0.000     0.000     0.000
HO2                0   107.400     3.458     0.000     0.000     0.000
CH2GSG             0   144.000     3.800     0.000     0.000     0.000
CH2O               0   498.000     3.590     0.000     0.000     0.000
CH3                0   144.000     3.800     0.000     0.000     0.000
CO                 0   98.100      3.650     0.000     0.000     0.000
CH3O               0   417.000     3.690     0.000     0.000     0.000
C2H5               0   247.500     4.350     0.000     0.000     0.000
CH4                0   141.400     3.746     0.000     0.000     0.000
C2H4               0   238.400     3.496     0.000     0.000     0.000
C2H6               0   247.500     4.350     0.000     0.000     0.000
CO2                0   244.000     3.763     0.000     0.000     0.000
HCO                0   498.000     3.590     0.000     0.000     0.000
CH3O2              0   481.800     3.626     0.000     0.000     0.000
CH3O2H             0   481.800     3.626     0.000     0.000     0.000
C2H2               0   265.300     3.721     0.000     0.000     0.000
HCCO               0   150.000     2.500     0.000     0.000     0.000
C2H3               0   265.300     3.721     0.000     0.000     0.000
CH2CHO             0   436.000     3.970     0.000     0.000     0.000
C3H5XA             0   316.000     4.220     0.000     0.000     0.000
C3H6               0   307.800     4.140     0.000     0.000     0.000
C3H5O              0   411.000     4.820     0.000     0.000     0.000
IXC3H7             0   303.400     4.810     0.000     0.000     0.000
NXC3H7             0   303.400     4.810     0.000     0.000     0.000
C3H8               0   303.400     4.810     0.000     0.000     0.000
IXC3H7O2           0   454.761     5.132     0.000     0.000     0.000
NXC3H7O2           0   481.500     4.997     0.000     0.000     0.000
