z (m),u (m/s),V (1/s),T (K),rho (kg/m3),N2,H,H2,O,OH,O2,H2O2,H2O,HO2,CO,CH3,CH2O,CO2,CH4,C2H2,C2H4,CH2CO,C2H6,C,CH,HCO,TXCH2,SXCH2,C2H3,C2H5,HCCO,CH3CHO,CH2CHO,C2H5O
0.0,0.49431573775248144,0.0,298.0,1.1781107504218689,0.7273691750001576,9.180102195417277e-19,7.078828712172808e-20,-8.856758165595826e-18,2.823377379775365e-18,0.22097018358125256,-3.3592659186678228e-18,-8.438014525806898e-19,7.439283994550568e-19,4.972916206913125e-19,-5.680841969733736e-19,-9.454223492839328e-18,6.626991858367946e-21,7.15536649268036e-19,-3.396487684394116e-18,0.05166064141858985,-5.147788273714584e-18,2.533544908483295e-18,1.4552901484503916e-17,1.3502260900618383e-17,3.6477999658920654e-25,3.6459810197306285e-19,1.9357900745842753e-33,1.2285519443265384e-27,8.173697277032662e-25,1.3273566290939757e-37,1.0825097631500616e-19,1.227473743331301e-23,1.1252843627788765e-22
0.01,0.4943157377524849,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.3447648025904057e-23,7.078369210280461e-20,1.6179912151457177e-21,2.93527417356115e-22,0.22097018358125228,-3.3593369881636097e-18,-6.560027382659021e-19,1.833881683580408e-16,1.2271740748243115e-16,1.2881521970852118e-17,3.688035992179919e-18,2.1560762219904197e-18,7.177167510582611e-19,-3.395000574388344e-18,0.051660641418589774,-5.1477882735219644e-18,2.4986026394649653e-18,4.048736315368794e-24,1.2282119793460524e-24,1.190712962386265e-22,9.069480354069546e-24,4.292597195203302e-31,3.8070759684135954e-25,2.8082979962143165e-22,2.69817558236983e-35,4.1740730048179913e-17,4.711326338342494e-21,4.9581030948495476e-20
0.03,0.4943157377524849,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,4.152474717585905e-28,7.07836917369688e-20,9.258287163351117e-26,4.9276559640344145e-26,0.22097018358125228,-3.359337108124153e-18,-6.559395865140208e-19,1.8345922844724866e-16,1.2273823409808997e-16,1.2948668626590217e-17,3.697955979674817e-18,2.1562773816945e-18,7.220996676201693e-19,-3.394961641806808e-18,0.051660641418589774,-5.1477882734421354e-18,2.4287128265687927e-18,5.626289923747498e-31,5.579765542873205e-32,1.3104976999030773e-26,4.238730545056016e-28,-2.161530425890174e-35,4.9726265109710564e-27,4.038601011165382e-26,1.0238102793736838e-38,4.1803166165164037e-17,9.075703833534847e-25,3.71570538023205e-23
0.049999999999999996,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.7296307760509294e-28,7.07836914920233e-20,4.4267826572464894e-26,2.2672533997075638e-26,0.22097018358125228,-3.35933719969631e-18,-6.55910499743364e-19,1.8347827616940483e-16,1.2275062064899706e-16,1.3014995290562593e-17,3.7056705343875654e-18,2.1563676572261476e-18,7.265050387235693e-19,-3.394922780473641e-18,0.051660641418589774,-5.147788273431979e-18,2.3588188474286234e-18,7.815651074845305e-38,2.5340906372317006e-39,8.148795712073516e-27,1.900573168012528e-28,-3.2707046981777123e-35,4.963460096581156e-27,3.103471581127286e-26,1.966384246689895e-39,4.1809649154738014e-17,4.225882092090544e-25,3.853543963216728e-24
0.075,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.7405994232009286e-28,7.07836910949751e-20,4.4548275265233693e-26,2.2814703184364026e-26,0.22097018358125228,-3.3593373143945225e-18,-6.558739131940646e-19,1.8350220544642755e-16,1.2276620164699422e-16,1.3097881859134077e-17,3.715374908733689e-18,2.156481215974895e-18,7.320468117559516e-19,-3.394873894502358e-18,0.051660641418589774,-5.147788273481384e-18,2.2714446914092955e-18,-6.114530591286747e-42,3.1784484270768387e-43,8.200342104598877e-27,1.9126069998499324e-28,-3.2653275068769003e-35,4.9950672378628906e-27,3.106105560293395e-26,1.9653998210772047e-39,4.181776274749083e-17,4.25239201979508e-25,3.858211127429609e-24
0.09999999999999999,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.751632403955888e-28,7.078369069785629e-20,4.4830116216655043e-26,2.2959036230366713e-26,0.22097018358125228,-3.3593374291018038e-18,-6.558370950928881e-19,1.8352628614282962e-16,1.2278188121461062e-16,1.3180746875636032e-17,3.7251406757156094e-18,2.1565954931360824e-18,7.376236405872698e-19,-3.394824699263859e-18,0.051660641418589774,-5.147788273531032e-18,2.184063679415445e-18,-5.2141212732617595e-43,9.491942518608097e-43,8.252222425281167e-27,1.9247074343235687e-28,-3.2599269806185336e-35,5.026669001491944e-27,3.108769565237428e-26,1.966955398476816e-39,4.182592764766013e-17,4.279295223387207e-25,3.882610222212387e-24
0.125,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.7626625339897366e-28,7.078369029933319e-20,4.5111884508771953e-26,2.3103332186446923e-26,0.22097018358125228,-3.3593375438190166e-18,-6.558000454989228e-19,1.8355051823416997e-16,1.227976593265443e-16,1.3263590518835727e-17,3.734967819541958e-18,2.156710488524817e-18,7.43235516219382e-19,-3.3947751948376235e-18,0.051660641418589774,-5.147788273581061e-18,2.096675639973893e-18,-3.185866319106228e-42,5.152782950056679e-43,8.304089384521375e-27,1.9368047494191206e-28,-3.254536116184618e-35,5.058262614284667e-27,3.1114352334541327e-26,1.968514814217454e-39,4.1834143861359605e-17,4.306191512399375e-25,3.907012225028893e-24
0.15,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.7736898326782541e-28,7.078368968290072e-20,4.539358064098585e-26,2.3247591191124727e-26,0.22097018358125228,-3.3593376589415746e-18,-6.557627642192946e-19,1.835749017528127e-16,1.2281353600428903e-16,1.3346412946246254e-17,3.744856348494246e-18,2.1568262021978717e-18,7.488824532864467e-19,-3.3947253810853026e-18,0.051660641418589774,-5.147788273768639e-18,2.009280400439386e-18,-3.960514951140601e-43,2.7736151783581243e-43,8.355943060901266e-27,1.9488989664155253e-28,-3.249154845716802e-35,5.0898481361353895e-27,3.1141025691823974e-26,1.9700774244921965e-39,4.184241139261077e-17,4.333080913406902e-25,3.9314079832234656e-24
0.19999999999999998,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.7957333044269018e-28,7.078368827976805e-20,4.5956689357744936e-26,2.3535964002312422e-26,0.22097018358125228,-3.35933788968852e-18,-6.556872765834226e-19,1.8362427373309346e-16,1.2284568312449853e-16,1.3511974434998232e-17,3.764878676848172e-18,2.1570604996180256e-18,7.603163689235709e-19,-3.3946245179825443e-18,0.051660641418589774,-5.147788274266786e-18,1.834459796608395e-18,-3.767175246195506e-42,6.33133233397018e-43,8.459598219516245e-27,1.9730752266282613e-28,-3.2384300558665586e-35,5.152987387004568e-27,3.1194439414287657e-26,1.9732152061908728e-39,4.1859151517297126e-17,4.386832649446929e-25,3.980174944944111e-24
0.25,0.4943157377524849,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.8177658358755914e-28,7.078368935992049e-20,4.65195192509942e-26,2.382419403447841e-26,0.22097018358125228,-3.3593381201023782e-18,-6.556108645398474e-19,1.836742503793707e-16,1.2287822382744894e-16,1.3677453946636126e-17,3.78514615581746e-18,2.157297665806078e-18,7.718902513078407e-19,-3.3945224200419797e-18,0.051660641418589774,-5.147788274623302e-18,1.6596077478007302e-18,1.2978651070008418e-42,-3.552517920693738e-43,8.563202053588902e-27,1.9972395158868134e-28,-3.2277424310293293e-35,5.2160953747391506e-27,3.124792049489052e-26,1.9763653755813875e-39,4.187609660382036e-17,4.440557770456057e-25,4.028917761100593e-24
0.275,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.828779387460127e-28,7.078396357943043e-20,4.68008650254154e-26,2.396827362909054e-26,0.22097018358125228,-3.359338234878586e-18,-6.555724273320757e-19,1.8369938996374387e-16,1.228945926349293e-16,1.3760173365082711e-17,3.795341205610244e-18,2.157416966405102e-18,7.777122048107416e-19,-3.394471062279385e-18,0.051660641418589774,-5.147788274674333e-18,1.5721736932384782e-18,7.304056892235901e-43,-7.790465591855622e-44,8.614991237726075e-27,2.0093186906902414e-28,-3.2224078447400964e-35,5.247641612661201e-27,3.1274677933143694e-26,1.9779435442573586e-39,4.188462040194374e-17,4.467413728144803e-25,4.0532831790042086e-24
0.3,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.8397902522456328e-28,7.082859924242939e-20,4.7082142324613107e-26,2.411231815913896e-26,0.22097018358125228,-3.3593383489149936e-18,-6.555337594268934e-19,1.8372468061771014e-16,1.2291105977494949e-16,1.3842872651076719e-17,3.805597502289451e-18,2.157536983785987e-18,7.8356911659718e-19,-3.3944193961873265e-18,0.051660641418589774,-5.147788274440206e-18,1.4847314514828098e-18,8.124646264078719e-43,-3.1683290353243252e-43,8.666767817260611e-27,2.0213949255917256e-28,-3.2170824006598707e-35,5.2791801727870045e-27,3.130145229842605e-26,1.979524762325237e-39,4.189319540763592e-17,4.494263149547331e-25,4.077642667086628e-24
0.3125,0.4943157377524849,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.8452950156282093e-28,7.355481749529547e-20,4.72227639240151e-26,2.4184331693156357e-26,0.22097018358125228,-3.3593384050516853e-18,-6.555143678325891e-19,1.8373736378700328e-16,1.2291931797427428e-16,1.388421728113214e-17,3.810740979994658e-18,2.157597171966589e-18,7.865063232194284e-19,-3.3943934860534922e-18,0.051660641418589774,-5.147788274067827e-18,1.4410082604317715e-18,-1.9682726995636178e-42,6.32780149445474e-43,8.692652968506411e-27,2.02743231101265e-28,-3.214421958712412e-35,5.2949475410936055e-27,3.131484372969245e-26,1.980316134331098e-39,4.1897495724902265e-17,4.507686232726076e-25,4.0898209346142685e-24
